Date,Time,Game,Result,Unnamed: 4,Spectators,Venue,home_goals,away_goals,home,away
2019-09-14,15:15:00,Frölunda HC  -  Brynäs IF,2 - 5,"(0-2, 0-3, 2-0)",12044,Scandinavium,2,5,Frölunda HC  ,  Brynäs IF
,15:15:00,Skellefteå AIK  -  IK Oskarshamn,5 - 4,"(0-1, 3-3, 1-0, 1-0)",5137,Skellefteå Kraft Arena,5,4,Skellefteå AIK  ,  IK Oskarshamn
,15:15:00,Leksands IF  -  IF Malmö Redhawks,5 - 2,"(1-2, 0-0, 4-0)",7650,Tegera Arena,5,2,Leksands IF  ,  IF Malmö Redhawks
,18:00:00,Djurgårdens IF  -  Linköping HC,4 - 2,"(0-1, 3-1, 1-0)",7018,"Hovet, Johanneshov",4,2,Djurgårdens IF  ,  Linköping HC
,18:00:00,Färjestad BK  -  Örebro HK,4 - 6,"(2-2, 1-2, 1-2)",8250,Löfbergs Arena,4,6,Färjestad BK  ,  Örebro HK
,18:00:00,Luleå HF  -  Växjö Lakers HC,3 - 1,"(1-0, 2-0, 0-1)",6150,Coop Norrbotten Arena,3,1,Luleå HF  ,  Växjö Lakers HC
,18:00:00,Rögle BK  -  HV 71,4 - 0,"(4-0, 0-0, 0-0)",5018,Catena Arena,4,0,Rögle BK  ,  HV 71
2019-09-17,19:00:00,HV 71  -  Frölunda HC,3 - 2,"(1-1, 1-0, 1-1)",6532,Kinnarps Arena,3,2,HV 71  ,  Frölunda HC
,19:00:00,Linköping HC  -  Brynäs IF,4 - 3,"(0-2, 1-0, 2-1, 1-0)",6625,Saab Arena,4,3,Linköping HC  ,  Brynäs IF
,19:00:00,IF Malmö Redhawks  -  Rögle BK,3 - 4,"(1-2, 0-1, 2-1)",9559,Malmö Arena,3,4,IF Malmö Redhawks  ,  Rögle BK
,19:00:00,IK Oskarshamn  -  Leksands IF,4 - 1,"(0-1, 1-0, 3-0)",3275,Be-Ge Hockey Center,4,1,IK Oskarshamn  ,  Leksands IF
,19:00:00,Örebro HK  -  Luleå HF,2 - 1,"(0-0, 1-1, 1-0)",5500,Behrn Arena,2,1,Örebro HK  ,  Luleå HF
,19:00:00,Skellefteå AIK  -  Färjestad BK,3 - 1,"(1-0, 2-1, 0-0)",3566,Skellefteå Kraft Arena,3,1,Skellefteå AIK  ,  Färjestad BK
,19:00:00,Växjö Lakers HC  -  Djurgårdens IF,3 - 5,"(3-3, 0-2, 0-0)",4267,Vida Arena,3,5,Växjö Lakers HC  ,  Djurgårdens IF
2019-09-19,19:00:00,Djurgårdens IF  -  Örebro HK,4 - 2,"(2-1, 0-0, 2-1)",4537,"Hovet, Johanneshov",4,2,Djurgårdens IF  ,  Örebro HK
,19:00:00,Färjestad BK  -  Växjö Lakers HC,4 - 2,"(0-2, 2-0, 2-0)",5467,Löfbergs Arena,4,2,Färjestad BK  ,  Växjö Lakers HC
,19:00:00,Frölunda HC  -  Linköping HC,4 - 0,"(2-0, 1-0, 1-0)",8549,Scandinavium,4,0,Frölunda HC  ,  Linköping HC
,19:00:00,Luleå HF  -  HV 71,3 - 2,"(0-2, 1-0, 1-0, 1-0)",5818,Coop Norrbotten Arena,3,2,Luleå HF  ,  HV 71
,19:00:00,Rögle BK  -  IK Oskarshamn,0 - 1,"(0-0, 0-0, 0-1)",3814,Catena Arena,0,1,Rögle BK  ,  IK Oskarshamn
,19:00:00,Leksands IF  -  Skellefteå AIK,3 - 2,"(0-0, 1-2, 2-0)",4303,Tegera Arena,3,2,Leksands IF  ,  Skellefteå AIK
2019-09-21,15:15:00,Brynäs IF  -  Färjestad BK,1 - 2,"(0-1, 1-0, 0-1)",7561,Monitor ERP Arena,1,2,Brynäs IF  ,  Färjestad BK
,15:15:00,HV 71  -  Leksands IF,2 - 1,"(1-0, 0-0, 0-1, 0-0, 1-0)",6327,Kinnarps Arena,2,1,HV 71  ,  Leksands IF
,15:15:00,Linköping HC  -  Rögle BK,2 - 3,"(1-2, 0-1, 1-0)",5122,Saab Arena,2,3,Linköping HC  ,  Rögle BK
,18:00:00,IF Malmö Redhawks  -  Luleå HF,4 - 1,"(1-0, 2-0, 1-1)",5075,Malmö Arena,4,1,IF Malmö Redhawks  ,  Luleå HF
,18:00:00,IK Oskarshamn  -  Djurgårdens IF,3 - 2,"(0-0, 1-0, 2-2)",3275,Be-Ge Hockey Center,3,2,IK Oskarshamn  ,  Djurgårdens IF
,18:00:00,Örebro HK  -  Frölunda HC,3 - 4,"(1-0, 0-1, 2-3)",5258,Behrn Arena,3,4,Örebro HK  ,  Frölunda HC
,18:00:00,Växjö Lakers HC  -  Skellefteå AIK,1 - 4,"(0-3, 0-0, 1-1)",4303,Vida Arena,1,4,Växjö Lakers HC  ,  Skellefteå AIK
2019-09-24,19:00:00,Leksands IF  -  Brynäs IF,5 - 1,"(3-0, 1-1, 1-0)",7008,Tegera Arena,5,1,Leksands IF  ,  Brynäs IF
2019-09-26,19:00:00,Djurgårdens IF  -  HV 71,2 - 1,"(0-0, 1-0, 0-1, 0-0, 1-0)",5994,"Hovet, Johanneshov",2,1,Djurgårdens IF  ,  HV 71
,19:00:00,Färjestad BK  -  IF Malmö Redhawks,4 - 3,"(0-0, 1-2, 2-1, 1-0)",6143,Löfbergs Arena,4,3,Färjestad BK  ,  IF Malmö Redhawks
,19:00:00,Luleå HF  -  Linköping HC,4 - 1,"(3-1, 1-0, 0-0)",4315,Coop Norrbotten Arena,4,1,Luleå HF  ,  Linköping HC
,19:00:00,Örebro HK  -  Rögle BK,2 - 3,"(1-1, 1-0, 0-1, 0-0, 0-1)",4727,Behrn Arena,2,3,Örebro HK  ,  Rögle BK
,19:00:00,Skellefteå AIK  -  Frölunda HC,1 - 6,"(1-1, 0-2, 0-3)",4524,Skellefteå Kraft Arena,1,6,Skellefteå AIK  ,  Frölunda HC
,19:00:00,Växjö Lakers HC  -  IK Oskarshamn,3 - 2,"(1-0, 1-1, 1-1)",4771,Vida Arena,3,2,Växjö Lakers HC  ,  IK Oskarshamn
2019-09-28,15:15:00,IF Malmö Redhawks  -  Örebro HK,4 - 1,"(1-0, 2-1, 1-0)",5403,Malmö Arena,4,1,IF Malmö Redhawks  ,  Örebro HK
,15:15:00,IK Oskarshamn  -  Luleå HF,2 - 4,"(1-2, 1-1, 0-1)",3086,Be-Ge Hockey Center,2,4,IK Oskarshamn  ,  Luleå HF
,15:15:00,Rögle BK  -  Leksands IF,5 - 3,"(1-2, 2-0, 2-1)",5051,Catena Arena,5,3,Rögle BK  ,  Leksands IF
,18:00:00,Frölunda HC  -  Färjestad BK,5 - 2,"(1-1, 2-1, 2-0)",11301,Scandinavium,5,2,Frölunda HC  ,  Färjestad BK
,18:00:00,HV 71  -  Skellefteå AIK,1 - 3,"(0-0, 1-1, 0-2)",6109,Kinnarps Arena,1,3,HV 71  ,  Skellefteå AIK
,18:00:00,Linköping HC  -  Växjö Lakers HC,3 - 2,"(1-1, 1-0, 1-1)",5322,Saab Arena,3,2,Linköping HC  ,  Växjö Lakers HC
2019-10-01,19:00:00,Brynäs IF  -  Djurgårdens IF,4 - 3,"(2-0, 1-2, 1-1)",6029,Monitor ERP Arena,4,3,Brynäs IF  ,  Djurgårdens IF
,19:00:00,HV 71  -  Linköping HC,5 - 0,"(2-0, 3-0, 0-0)",6218,Kinnarps Arena,5,0,HV 71  ,  Linköping HC
2019-10-03,19:00:00,Djurgårdens IF  -  Färjestad BK,5 - 6,"(0-1, 3-2, 2-2, 0-0, 0-1)",6034,"Hovet, Johanneshov",5,6,Djurgårdens IF  ,  Färjestad BK
,19:00:00,IK Oskarshamn  -  HV 71,2 - 3,"(0-0, 1-0, 1-2, 0-1)",3275,Be-Ge Hockey Center,2,3,IK Oskarshamn  ,  HV 71
,19:00:00,Örebro HK  -  Brynäs IF,6 - 1,"(1-0, 1-1, 4-0)",5007,Behrn Arena,6,1,Örebro HK  ,  Brynäs IF
,19:00:00,Rögle BK  -  Luleå HF,3 - 2,"(0-0, 0-1, 2-1, 1-0)",4273,Catena Arena,3,2,Rögle BK  ,  Luleå HF
,19:00:00,Skellefteå AIK  -  Linköping HC,3 - 1,"(0-0, 1-1, 2-0)",4036,Skellefteå Kraft Arena,3,1,Skellefteå AIK  ,  Linköping HC
,19:00:00,Leksands IF  -  Frölunda HC,2 - 4,"(1-1, 1-1, 0-2)",5485,Tegera Arena,2,4,Leksands IF  ,  Frölunda HC
,19:00:00,Växjö Lakers HC  -  IF Malmö Redhawks,1 - 4,"(0-2, 0-0, 1-2)",4102,Vida Arena,1,4,Växjö Lakers HC  ,  IF Malmö Redhawks
2019-10-05,15:15:00,Brynäs IF  -  HV 71,1 - 4,"(0-3, 0-0, 1-1)",5586,Monitor ERP Arena,1,4,Brynäs IF  ,  HV 71
,15:15:00,Färjestad BK  -  IK Oskarshamn,12 - 0,"(7-0, 3-0, 2-0)",7324,Löfbergs Arena,12,0,Färjestad BK  ,  IK Oskarshamn
,15:15:00,Linköping HC  -  IF Malmö Redhawks,1 - 2,"(1-1, 0-0, 0-0, 0-0, 0-1)",5201,Saab Arena,1,2,Linköping HC  ,  IF Malmö Redhawks
,15:15:00,Leksands IF  -  Växjö Lakers HC,1 - 3,"(0-1, 0-1, 1-1)",6869,Tegera Arena,1,3,Leksands IF  ,  Växjö Lakers HC
,18:00:00,Frölunda HC  -  Rögle BK,1 - 2,"(0-0, 1-1, 0-1)",11426,Scandinavium,1,2,Frölunda HC  ,  Rögle BK
,18:00:00,Luleå HF  -  Djurgårdens IF,1 - 3,"(0-0, 1-3, 0-0)",5925,Coop Norrbotten Arena,1,3,Luleå HF  ,  Djurgårdens IF
,18:00:00,Örebro HK  -  Skellefteå AIK,5 - 1,"(2-0, 2-1, 1-0)",5162,Behrn Arena,5,1,Örebro HK  ,  Skellefteå AIK
2019-10-10,19:00:00,Färjestad BK  -  Leksands IF,6 - 4,"(1-2, 3-1, 2-1)",7687,Löfbergs Arena,6,4,Färjestad BK  ,  Leksands IF
,19:00:00,IF Malmö Redhawks  -  Skellefteå AIK,0 - 4,"(0-2, 0-1, 0-1)",5003,Malmö Arena,0,4,IF Malmö Redhawks  ,  Skellefteå AIK
,19:00:00,IK Oskarshamn  -  Frölunda HC,1 - 3,"(0-1, 1-1, 0-1)",3118,Be-Ge Hockey Center,1,3,IK Oskarshamn  ,  Frölunda HC
,19:00:00,Örebro HK  -  Växjö Lakers HC,4 - 1,"(0-1, 1-0, 3-0)",5018,Behrn Arena,4,1,Örebro HK  ,  Växjö Lakers HC
