,team,home_goals,home_ga,away,away_ga,away_goals,home,home_max,home_ga_max,away,away_ga_max,away_max,home_avg,away_avg,home_ga_avg,away_ga_avg
0,Brynäs IF,73,63,Brynäs IF,99,58,Brynäs IF,6,5,Brynäs IF,8,6,2.8076923076923075,2.230769230769231,2.423076923076923,3.8076923076923075
1,Djurgårdens IF,85,54,Djurgårdens IF,78,50,Djurgårdens IF,6,6,Djurgårdens IF,7,5,3.269230769230769,1.9230769230769231,2.076923076923077,3.0
2,Frölunda HC,88,52,Frölunda HC,72,63,Frölunda HC,8,5,Frölunda HC,5,6,3.3846153846153846,2.423076923076923,2.0,2.769230769230769
3,Färjestad BK,99,58,Färjestad BK,84,67,Färjestad BK,12,6,Färjestad BK,8,6,3.8076923076923075,2.576923076923077,2.230769230769231,3.230769230769231
4,HV 71,87,64,HV 71,61,69,HV 71,8,6,HV 71,6,4,3.3461538461538463,2.6538461538461537,2.4615384615384617,2.3461538461538463
5,IF Malmö Redhawks,70,58,IF Malmö Redhawks,67,59,IF Malmö Redhawks,5,4,IF Malmö Redhawks,5,5,2.6923076923076925,2.269230769230769,2.230769230769231,2.576923076923077
6,IK Oskarshamn,62,75,IK Oskarshamn,102,47,IK Oskarshamn,5,5,IK Oskarshamn,12,5,2.3846153846153846,1.8076923076923077,2.8846153846153846,3.923076923076923
7,Leksands IF,54,72,Leksands IF,94,56,Leksands IF,5,5,Leksands IF,8,5,2.076923076923077,2.1538461538461537,2.769230769230769,3.6153846153846154
8,Linköping HC,64,65,Linköping HC,73,51,Linköping HC,5,5,Linköping HC,6,5,2.4615384615384617,1.9615384615384615,2.5,2.8076923076923075
9,Luleå HF,84,40,Luleå HF,58,64,Luleå HF,6,4,Luleå HF,5,7,3.230769230769231,2.4615384615384617,1.5384615384615385,2.230769230769231
10,Rögle BK,76,53,Rögle BK,68,68,Rögle BK,6,7,Rögle BK,5,5,2.923076923076923,2.6153846153846154,2.0384615384615383,2.6153846153846154
11,Skellefteå AIK,85,54,Skellefteå AIK,65,64,Skellefteå AIK,8,6,Skellefteå AIK,6,5,3.269230769230769,2.4615384615384617,2.076923076923077,2.5
12,Växjö Lakers HC,67,52,Växjö Lakers HC,84,56,Växjö Lakers HC,6,5,Växjö Lakers HC,6,5,2.576923076923077,2.1538461538461537,2.0,3.230769230769231
13,Örebro HK,80,63,Örebro HK,69,51,Örebro HK,6,6,Örebro HK,7,6,3.076923076923077,1.9615384615384615,2.423076923076923,2.6538461538461537
